,Algorithm,min_pts,ARI,NMI,Noise,ARI_DB,NMI_DB,Degree,Dataset,Balance,Stratified_Balance
0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
1,Ground_Truth,4,1.0,1.0,0.0,0.0008340862051792,6.42024707876047e-05,2,Bank (marital),0.8588800057865307,0.8588800057865307
2,DBSCAN,4,0.0059607030710052,0.0012630222119024,0.002,1.0,1.0,2,Bank (marital),0.7883183527205541,0.786741716015113
3,FairDen,11,0.2090944953392334,0.0786163780421442,0.0,0.0087246273438185,0.0087404584409695,2,Bank (marital),0.9907212371552608,0.9907212371552608
4,Ground_Truth,4,1.0,1.0,0.0,0.0128011365711337,0.0149172748150969,2,Adult (race),0.5150765485892573,0.5150765485892573
5,DBSCAN,4,0.0189690655913928,0.0218290070674984,0.0015,1.0,1.0,2,Adult (race),0.4984977466199299,0.49775
6,FairDen,15,0.0132621648254009,0.0147546422478002,0.0035,0.0018989630229395,0.0190339569050874,10,Adult (race),0.3223131567108223,0.3211850606623344
7,FairDen,15,0.0473916277031881,0.0122342943408539,0.0,0.0069864278870788,0.0107549934907799,2,Adult (race),0.8559147334147335,0.8559147334147335
8,Ground_Truth,9,1.0,1.0,0.0,-0.0365853658536585,0.0120438103893187,2,Adult (gender),0.663467600903439,0.663467600903439
9,DBSCAN,9,0.0015699158260601,0.0003100176434034,0.991,1.0,1.0,2,Adult (gender),0.7083333333333333,0.006375
10,FairDen,15,0.0093870330760582,0.0110293853886722,0.0085,0.0,0.0,10,Adult (gender),0.7951888106291614,0.7884297057388135
11,FairDen,15,0.0362426856216166,0.0085492306775496,0.0,0.0,0.0,2,Adult (gender),0.959366045868192,0.959366045868192
12,Ground_Truth,5,1.0,1.0,0.0,0.0101733477302668,0.0828319976598387,17,Student (address),0.5795373983330032,0.5795373983330032
13,DBSCAN,5,0.0184522930295982,0.1030999903121362,0.1584158415841584,1.0,1.0,4,Student (address),0.569099570546435,0.4789451831331383
14,FairDen,21,0.0125239702410516,0.0522822732170984,0.0,0.4521443608780082,0.2717581550571035,2,Student (address),0.953607947071965,0.953607947071965
15,FairDen-,7,0.2055073473871536,0.0777794309148954,0.0,0.0082975680650243,0.0084217105875862,2,Bank (marital),0.9795400871576858,0.9795400871576858
16,FairDen-,11,0.0527187988141567,0.015954883672921,0.0005,0.0079440902367979,0.0176418267390642,2,Adult (race),0.8333906776737063,0.8329739823348695
17,FairDen-,11,0.0464509264657385,0.013639189366204,0.0005,0.0,0.0,2,Adult (gender),0.8604721788196744,0.8600419427302646
18,FairDen-,13,0.011210839104226444,0.051577872727545486,0.0,0.5162286107155553,0.31124883136962334,2,Student (address),0.9349739603847387,0.9349739603847387
